Country,Percentage,Submission,Population
Australia,0.000004146390815578488,1,24117360
Austria,0.000011460095203594894,1,8725931
Belgium,0.000008834303884681945,1,11319511
Brazil,4.851168738478747e-7,1,206135893
Canada,0.000011063327676930475,4,36155487
Denmark,0.00006996659444948009,4,5717014
France,0.00003147953830010493,21,66710000
Germany,0.000002445857878536252,2,81770900
Italy,0.0000016483819622770757,1,60665551
Netherlands,0.000052879587304198634,9,17019800
Norway,0.000019145146245943145,1,5223256
Paraguay,0.00001458887953903809,1,6854536
Poland,0.000002601643682055311,1,38437239
Portugal,0.000009638719584779383,1,10374822
Singapore,0.000018066847335140017,1,5535000
Sweden,0.000020212457179909465,2,9894888
Switzerland,0.000011988107797065312,1,8341600
USA,0.000008026004253782255,26,323947000
Ukraine,0.0000023423376618874467,1,42692393
United Kingdom,0.00001689448625403164,11,65110000
